Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,QV1,QV2,QV3,QV4_1,QV4_2,QV4_3,QV4_4,QV4_5,QV4_6,QV4_7,QV4_8,QV4_9,QV4_10,QV4_11,QV5_1,QV5_2,QV5_3,QV5_4,QV5_5,QV5_6,QV6,Q9,Q10,Q11,Q12,Q13,Q13a,Q14a,Q14b,Q14d,Q14e,Q14f_1,Q14f_2,Q14f_3,Q14f_4,Q14f_5,Q14g,Q14h_1,Q14h_2,Q14h_3,Q14h_4,Q14h_5,Q14i,Q15,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_11,Q19_12,Q19_13,Q19a,Q19b_1,Q19b_2,Q19b_3,Q19b_4,Q19b_5,Q19b_6,Q19b_7,Q19b_8,Q19b_9,Q19b_10,Q19b_11,Q19b_12,Q19c_1,Q19c_2,Q19c_3,Q19c_4,Q19c_5,Q19c_6,Q19c_7,Q19c_8,Q19c_9,Q19c_10,Q19c_11,Q19c_12,Q19c_13,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q21a,Q21b,Q21c,Q24,Q24a,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q26,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27a,Q28,Q29,Q32,Q33,Q34,Q35,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q36_7,Q36_8,Q37,Q38,Q38a,Q38b,Q38c,Q39,Q39a,Q40b,Q40c,Q41,Q41a,Q41b,Q42_1,Q42_2,Q42_3,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q44,Q45_1,Q45_2,Q45_3,Q46,Q47_1,Q47_2,Q47_3,Q47a,Q48a,Q48b,QPS1,QPS2_1,QPS2_2,QPS2_3,QPS2_4,QPS2_5,QPS2_6,QPS3_1,QPS3_2,QPS3_3,QPS3_4,QPS3_5,QPS3_6,QPS3_7,QPS4_1,QPS4_2,QPS4_3,QPS4_4,QPS4_5,QPS4_6,QPS4_7,QPS4_8,QPS4_9,Q50
2000,1,1,1,4,5,2,0,2,-88,3,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-88,-88,-88,-88,-88,-88,2,2,2,1,2,-88,3,2,-88,2,2,-88,-88,-88,-88,-88,4,-88,-88,-88,-88,-88,1,4,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-99,1,-99,-99,-99,-99,-99,1,3,2,1,-88,-88,-88,-88,-88,-88,2,-88,-88,-88,-88,-88,-88,-88,2,0,100,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,-88,1,4,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-99,1,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,1
1997,1,2,1,4,5,5,1,2,-88,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,1,2,2,-88,10,2,1,1,2,2,-88,-88,-88,-88,-88,4,-88,-88,-88,-88,-88,1,2,1,1,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,1,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,1,3,2,1,-88,-88,-88,-88,-88,-88,2,-88,-88,-88,-88,-88,-88,-88,2,300,80,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,-88,1,4,-88,-88,1,-99,-99,-99,1,-99,-99,-99,1,-99,1,-99,1,-99,1,-99,4,10,3,1,-99,1,1,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,4
1991,1,1,4,4,5,1,0,1,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,2,2,1,2,-88,2,2,-88,2,2,-88,-88,-88,-88,-88,3,-99,-99,-99,1,-99,2,2,-99,-99,-99,-99,-99,1,-99,1,-99,1,-99,-99,-99,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-99,-99,-99,-99,-99,-99,-99,2,2,2,1,-88,-88,-88,-88,-88,-88,1,-99,-99,-99,1,-99,1,-99,2,200,200,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,3,8,1,-88,3,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-88,-88,-88,-88,-88,-88,-88,-88,-88,3
1991,2,1,2,4,5,2,0,1,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,1,2,1,2,-88,2,1,1,2,2,-88,-88,-88,-88,-88,4,-88,-88,-88,-88,-88,3,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,1,-99,-99,-99,-99,1,1,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,1,1,1,2,-88,-99,-99,1,-99,1,1,-99,1,-99,-99,-99,1,1,2,40,10,3,3,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1,3,7,1,-88,3,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,1,-99,1,-99,1,-99,-99,-99,1,1,-99,-99,1,-99,-99,-99,-99,1,-99,-99,1,-99,2
1999,1,1,1,4,5,4,0,1,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,1,2,1,2,-88,1,2,-88,2,2,-88,-88,-88,-88,-88,3,-99,-99,-99,1,-99,3,2,1,-99,-99,-99,-99,1,-99,1,-99,-99,-99,-99,-99,1,-99,-99,1,-99,1,-99,1,-99,1,-99,-99,-99,1,1,-99,1,1,-99,-99,1,-99,-99,1,-99,-99,1,-99,1,1,1,1,-99,-99,2,3,1,1,-88,-88,-88,-88,-88,-88,2,-88,-88,-88,-88,-88,-88,-88,2,400,75,4,3,2,2,1,1,2,2,1,2,2,2,1,2,2,2,2,3,2,1,-88,4,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,3,-99,-99,1,-99,-99,-99,1,1,1,1,-99,1,-99,-99,-99,1,1,-99,1,1,1,-99,2
2001,2,1,4,4,5,2,0,2,-88,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,1,2,1,2,-88,2,1,2,2,2,-88,-88,-88,-88,-88,4,-88,-88,-88,-88,-88,1,4,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,3,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,1,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,2,3,1,1,-88,-88,-88,-88,-88,-88,2,-88,-88,-88,-88,-88,-88,-88,2,100,20,3,3,4,4,1,1,2,2,2,2,2,2,2,2,1,1,2,3,6,1,-88,4,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,-99,1,1,-99,-99,-99,-99,-99,1,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,2
1997,2,1,1,4,5,3,0,2,-88,3,1,-99,-99,-99,-99,1,1,-99,-99,-99,-99,-88,-88,-88,-88,-88,-88,1,1,2,1,2,-88,1,1,2,2,2,-88,-88,-88,-88,-88,4,-88,-88,-88,-88,-88,1,4,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-99,-99,-99,-99,-99,-99,-99,2,3,1,1,-88,-88,-88,-88,-88,-88,2,-88,-88,-88,-88,-88,-88,-88,2,250,40,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-99,-99,1,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-88,-88,-88,-88,-88,-88,-88,-88,-88,1
1994,1,1,1,4,3,2,0,2,-88,4,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-88,-88,-88,-88,-88,-88,2,1,1,2,-88,12,3,1,1,2,2,-88,-88,-88,-88,-88,4,-88,-88,-88,-88,-88,2,4,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-99,-99,-99,-99,1,-99,-99,-99,2,3,2,1,-88,-88,-88,-88,-88,-88,2,-88,-88,-88,-88,-88,-88,-88,1,150,100,2,3,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,1,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-99,-99,1,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-88,-88,-88,-88,-88,-88,-88,-88,-88,1
1997,1,2,1,4,5,2,0,2,-88,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,2,2,1,2,-88,1,2,-88,2,2,-88,-88,-88,-88,-88,4,-88,-88,-88,-88,-88,1,4,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,1,1,-99,1,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,1,1,-99,-99,-99,-99,-99,-99,1,1,1,1,-88,-88,-88,-88,-88,-88,2,-88,-88,-88,-88,-88,-88,-88,2,140,70,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,5,1,-88,4,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-99,-99,1,-99,-99,-99,-99,1,1,-99,-99,-99,-99,1,-99,-99,1,-99,1,1,-99,-99,8
1999,1,1,1,4,5,2,0,2,-88,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,2,2,2,-88,12,1,2,-88,2,2,-88,-88,-88,-88,-88,4,-88,-88,-88,-88,-88,1,4,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,3,1,-99,-99,1,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,1,3,1,2,-88,-99,-99,-99,-99,1,2,-88,-88,-88,-88,-88,-88,-88,2,150,100,3,3,3,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,-88,1,4,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-99,-99,1,-99,-99,-99,1,-99,1,1,-99,-99,-99,-99,-99,-99,1,-99,1,-99,-99,1,6
1999,2,1,4,4,5,2,0,1,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,1,2,1,5,-88,2,2,-88,2,2,-88,-88,-88,-88,-88,4,-88,-88,-88,-88,-88,1,3,-99,-99,-99,-99,-99,1,-99,-99,-99,1,-99,-99,-99,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-99,-99,1,-99,-99,1,-99,-99,1,1,1,2,-88,1,-99,-99,-99,-99,2,-88,-88,-88,-88,-88,-88,-88,2,100,50,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,3,3,1,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-99,-99,1,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-88,-88,-88,-88,-88,-88,-88,-88,-88,2
1997,2,2,1,4,5,2,0,2,-88,2,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-88,-88,-88,-88,-88,-88,2,2,2,2,-88,12,3,2,-88,2,2,-88,-88,-88,-88,-88,3,-99,-99,-99,-99,-99,2,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-99,-99,-99,-99,1,-99,-99,2,2,2,1,-88,-88,-88,-88,-88,-88,2,-88,-88,-88,-88,-88,-88,-88,2,496,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-99,-99,1,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-88,-88,-88,-88,-88,-88,-88,-88,-88,2
1996,2,1,4,4,5,2,0,1,1,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,2,2,2,1,2,-88,1,2,-88,2,2,-88,-88,-88,-88,-88,4,-88,-88,-88,-88,-88,1,2,1,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,1,-99,2,1,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,1,-99,-99,2,3,1,1,-88,-88,-88,-88,-88,-88,1,-99,-99,-99,-99,-99,1,-99,2,116,200,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,6,2,-88,4,4,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-99,1,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,1,1,-99,-99,1,-99,3
